,star_ra_deg,star_dec_deg,star_distance_pc,star_radius_solar,star_teff_k,planet_orbit_semi_major_axis_au,planet_orbit_eccentricity,planet_orbit_inclination_deg,planet_radius_earth,planet_equilibrium_temp_k,planet_orbital_period_days,star_luminosity_solar,ra_rad,dec_rad,star_cartesian_x,star_cartesian_y,star_cartesian_z,star_habitable_zone_inner_au,star_habitable_zone_outer_au
102,101.0526207,-0.2991544,1398.8341969,1.95,6200.0,0.0417,0.0,86.8,14.572,,2.72474,0.705,1.7637009489839772,-0.005221229251828124,-268.1674718395228,1372.8692490105504,-7.303600843009875,0.8005679801922451,1.153338059393378
103,280.6671392,6.2191669,627.158,1.14,5939.0,0.092,0.077,89.749,4.88,885.0,9.75598,0.014,4.898565681193244,0.10854493913604894,115.40563629188391,-612.6929781138252,67.94122935359027,0.11281521496355323,0.1625272110744002
104,279.7826586,4.3577516,1060.97,1.61,5900.0,0.048,0.16,85.7,11.77,1660.0,3.6313,0.087,4.883128582553229,0.07605711340405093,179.74957851086305,-1042.5202172961153,80.61653958107911,0.2812310599683276,0.40515545583914625
105,101.922543,-3.7192892,591.555,0.86,4950.0,0.056,0.0,86.5,3.7,1070.0,5.1134,-0.601,1.7788839573554989,-0.06491384237386588,-121.95146068404286,577.5748098596163,-38.37314526666267,,
106,101.922543,-3.7192892,591.555,0.86,4950.0,0.098,0.0,89.0,5.0,850.0,11.759,-0.601,1.7788839573554989,-0.06491384237386588,-121.95146068404286,577.5748098596163,-38.37314526666267,,
107,280.6296561,6.5138223,1103.48,1.19,6040.0,0.0578,0.0,84.5,12.11,1330.0,4.86069,0.141,4.897911477684389,0.11368764602482984,202.23401927494098,-1077.5430314871273,125.1819761045277,0.358024884863913,0.5157884603682565
108,279.7504991,6.9697828,1045.18,1.79,5590.0,0.0526,0.0,86.8,14.12,1600.0,4.20474,0.451,4.882567293392434,0.12164565800886944,175.7016364958497,-1022.4699292323953,126.82827424585201,0.6403124237432849,0.9224659322849896
109,278.4958319,5.5383811,1010.28,1.08,5900.0,0.0476,0.065,86.7,11.287,1500.0,3.57532,-0.166,4.860669219735655,0.09666298542522532,148.55944159410637,-994.5293407406255,97.50467229453244,,
110,278.6883216,5.5736911,766.183,1.78,5150.0,0.0603,0.047,88.1,10.705,,5.20851,0.388,4.864028798776832,0.09727926118410452,115.19189256674649,-753.8099522385294,74.41621652595077,0.5939084716749482,0.8556140904041455
111,278.9020691,6.4795703,806.507,0.9,5260.0,0.0386,0.082,87.3,10.088,,2.85057,-0.094,4.867759396419738,0.11308983584943673,124.00655685075763,-791.7022584335,91.01345449061539,,
